person_id,risk_score,risk_flight,risk_exam,risk_shoot,risk_disc_safety,risk_training,department,rank,specialization
AO07216,83.9,0.9298245614035088,0.6631578947368422,0.9636752136752137,0.820952380952381,0.7047619047619048,Alpha,Lieutenant Colonel,Department Commander
AO12605,58.2,0.8070175438596492,0.28771929824561404,0.5,0.820952380952381,0.3904761904761905,Alpha,Major,Chief of Operations
AO17018,60.3,0.9649122807017544,0.9,0.12179487179487179,0.35619047619047617,0.7047619047619048,Alpha,Captain,Pilot-Operator Lead
G22139,55.4,0.5,0.5,0.5,0.820952380952381,0.2895238095238095,Alpha,Warrant Officer,Technical Service Lead
AO16543,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Captain,Training & Standardization Lead
AO22963,25.7,0.09122807017543855,0.3315789473684211,0.25213675213675213,0.35619047619047617,0.3476190476190476,Alpha,Senior Lieutenant,Operations Officer
AO19391,33.7,0.27368421052631575,0.0491228070175439,0.6816239316239316,0.35619047619047617,0.2895238095238095,Alpha,Captain,Operations Officer
AO18976,31.2,0.11929824561403513,0.32280701754385965,0.12179487179487179,0.820952380952381,0.14476190476190476,Alpha,Captain,Operations Officer
AO13357,58.6,0.6245614035087719,0.3912280701754386,0.9850427350427351,0.35619047619047617,0.2895238095238095,Alpha,Major,Operations Officer
AO23290,47.1,0.06666666666666665,0.8701754385964913,0.6047008547008547,0.35619047619047617,0.2895238095238095,Alpha,Lieutenant,Operations Officer
AO16547,69.1,0.2315789473684211,0.8456140350877193,1.0,0.820952380952381,0.14476190476190476,Alpha,Captain,Operations Officer
AO13497,51.3,0.39649122807017545,0.6473684210526316,0.5833333333333334,0.35619047619047617,0.7047619047619048,Alpha,Major,Operations Officer
AO17259,48.3,0.31228070175438594,0.5894736842105264,0.6047008547008547,0.35619047619047617,0.7047619047619048,Alpha,Captain,Operations Officer
AO21304,43.3,0.4385964912280702,0.4614035087719298,0.5192307692307693,0.35619047619047617,0.14476190476190476,Alpha,Senior Lieutenant,Operations Officer
AO24033,41.3,0.1333333333333333,0.6578947368421053,0.5448717948717948,0.35619047619047617,0.14476190476190476,Alpha,Lieutenant,Operations Officer
AO25712,24.8,0.07017543859649122,0.13157894736842102,0.46153846153846156,0.35619047619047617,0.22380952380952382,Alpha,Lieutenant,Operations Officer
AO21586,37.7,0.1824561403508772,0.05964912280701751,0.9358974358974359,0.35619047619047617,0.22380952380952382,Alpha,Senior Lieutenant,Operations Officer
AO24023,52.0,0.3789473684210526,0.8701754385964913,0.5,0.35619047619047617,0.22380952380952382,Alpha,Lieutenant,Operations Officer
AO21458,37.9,0.11228070175438598,0.18070175438596492,0.8931623931623932,0.35619047619047617,0.22380952380952382,Alpha,Senior Lieutenant,Operations Officer
AO18524,45.3,0.5,0.5,0.5,0.35619047619047617,0.14476190476190476,Alpha,Captain,Flight Control Officer
AO12328,46.4,0.5,0.5,0.5,0.35619047619047617,0.3476190476190476,Alpha,Major,Flight Control Officer
AO16636,54.6,0.5,0.5,0.5,0.820952380952381,0.14476190476190476,Alpha,Captain,Flight Control Officer
AO25389,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Lieutenant,Training & Standardization Officer
AO25228,56.8,0.5,0.5,0.5,0.9523809523809523,0.049523809523809526,Alpha,Lieutenant,Training & Standardization Officer
AO18688,44.9,0.5,0.5,0.5,0.35619047619047617,0.049523809523809526,Alpha,Captain,Training & Standardization Officer
AO20164,63.3,0.43508771929824563,0.8421052631578947,0.5683760683760684,0.820952380952381,0.14476190476190476,Alpha,Senior Lieutenant,Pilot-Operator
AO25328,32.7,0.37192982456140355,0.5210526315789474,0.12179487179487179,0.35619047619047617,0.049523809523809526,Alpha,Lieutenant,Pilot-Operator
AO24416,36.7,0.1473684210526316,0.7719298245614035,0.12179487179487179,0.35619047619047617,0.7047619047619048,Alpha,Lieutenant,Pilot-Operator
AO22646,64.7,0.8947368421052632,0.3315789473684211,0.5,0.981904761904762,0.3904761904761905,Alpha,Senior Lieutenant,Pilot-Operator
AO22701,40.7,0.7052631578947368,0.20526315789473681,0.3888888888888889,0.35619047619047617,0.22380952380952382,Alpha,Senior Lieutenant,Pilot-Operator
AO24250,47.4,0.6631578947368422,0.6859649122807018,0.12179487179487179,0.35619047619047617,0.7047619047619048,Alpha,Lieutenant,Pilot-Operator
AO22585,29.7,0.01403508771929829,0.21754385964912282,0.2905982905982906,0.820952380952381,0.049523809523809526,Alpha,Senior Lieutenant,Pilot-Operator
AO12461,62.1,0.7087719298245614,0.968421052631579,0.12179487179487179,0.820952380952381,0.14476190476190476,Alpha,Major,Pilot-Operator
AO19336,59.6,0.9052631578947369,0.4385964912280702,0.24358974358974358,0.820952380952381,0.7047619047619048,Alpha,Captain,Pilot-Operator
AO17172,47.4,0.7263157894736842,0.7526315789473684,0.12179487179487179,0.35619047619047617,0.049523809523809526,Alpha,Captain,Pilot-Operator
AO22921,53.4,0.09473684210526312,0.7807017543859649,0.4188034188034188,0.9523809523809523,0.3904761904761905,Alpha,Senior Lieutenant,Pilot-Operator
AO20473,54.8,0.9789473684210527,0.7596491228070176,0.12179487179487179,0.35619047619047617,0.22380952380952382,Alpha,Senior Lieutenant,Pilot-Operator
AO24361,54.9,0.4421052631578948,0.45438596491228067,0.5,0.820952380952381,0.7047619047619048,Alpha,Lieutenant,Pilot-Operator
AO11628,69.0,0.9894736842105263,0.9964912280701754,0.34615384615384615,0.35619047619047617,0.7047619047619048,Alpha,Major,Pilot-Operator
AO21607,37.7,0.4736842105263158,0.3192982456140351,0.4188034188034188,0.35619047619047617,0.049523809523809526,Alpha,Senior Lieutenant,Pilot-Operator
AO17445,40.9,0.5298245614035088,0.18771929824561406,0.12179487179487179,0.820952380952381,0.7047619047619048,Alpha,Captain,Pilot-Operator
AO22937,46.0,0.8666666666666667,0.21754385964912282,0.46153846153846156,0.35619047619047617,0.049523809523809526,Alpha,Senior Lieutenant,Pilot-Operator
AO23491,46.3,0.15438596491228074,0.531578947368421,0.5,0.820952380952381,0.049523809523809526,Alpha,Lieutenant,Pilot-Operator
AO18742,36.4,0.6280701754385964,0.41052631578947374,0.12179487179487179,0.35619047619047617,0.049523809523809526,Alpha,Captain,Pilot-Operator
AO15635,77.6,0.28771929824561404,0.9578947368421052,0.9209401709401709,0.9942857142857143,0.7047619047619048,Alpha,Captain,Pilot-Operator
G23402,46.3,0.7228070175438597,0.21052631578947367,0.12179487179487179,0.820952380952381,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G19017,50.2,0.7157894736842105,0.3666666666666667,0.5,0.35619047619047617,0.7047619047619048,Alpha,Senior Warrant Officer,UAV Operator
G22746,49.4,0.3649122807017544,0.5807017543859649,0.6047008547008547,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G23357,52.9,0.42105263157894735,0.2824561403508772,0.9850427350427351,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G18673,62.6,0.5157894736842106,0.43157894736842106,0.7606837606837606,0.820952380952381,0.7047619047619048,Alpha,Senior Warrant Officer,UAV Operator
G11740,42.2,0.8245614035087719,0.04561403508771933,0.46153846153846156,0.35619047619047617,0.3476190476190476,Alpha,Senior Warrant Officer,UAV Operator
G23944,58.5,0.5859649122807018,0.5859649122807018,0.5,0.820952380952381,0.049523809523809526,Alpha,Warrant Officer,UAV Operator
G22677,54.6,0.41052631578947374,0.45438596491228067,0.8931623931623932,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G25596,72.7,0.5333333333333333,0.8771929824561404,0.8290598290598291,0.820952380952381,0.049523809523809526,Alpha,Junior Warrant Officer,UAV Operator
G23288,61.8,0.4491228070175438,0.4140350877192982,0.6816239316239316,0.981904761904762,0.7047619047619048,Alpha,Junior Warrant Officer,UAV Operator
G25878,51.9,0.18947368421052635,0.9157894736842105,0.5448717948717948,0.35619047619047617,0.7047619047619048,Alpha,Junior Warrant Officer,UAV Operator
G25956,60.1,0.1701754385964912,0.543859649122807,0.8931623931623932,0.820952380952381,0.7047619047619048,Alpha,Junior Warrant Officer,UAV Operator
G22091,55.7,0.8105263157894737,0.256140350877193,0.36538461538461536,0.820952380952381,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G18716,66.1,0.656140350877193,0.8508771929824561,0.7094017094017094,0.35619047619047617,0.7047619047619048,Alpha,Senior Warrant Officer,UAV Operator
G22153,54.9,0.4982456140350877,0.25263157894736843,0.6474358974358975,0.820952380952381,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G11488,55.0,0.6105263157894737,0.8947368421052632,0.2692307692307692,0.35619047619047617,0.7047619047619048,Alpha,Senior Warrant Officer,UAV Operator
G24197,36.0,0.3403508771929824,0.18070175438596492,0.12179487179487179,0.820952380952381,0.7047619047619048,Alpha,Junior Warrant Officer,UAV Operator
G17139,58.2,0.9543859649122807,0.8263157894736842,0.12179487179487179,0.35619047619047617,0.7047619047619048,Alpha,Senior Warrant Officer,UAV Operator
G22314,51.0,0.5964912280701755,0.375438596491228,0.2692307692307692,0.820952380952381,0.7047619047619048,Alpha,Warrant Officer,UAV Operator
G23423,51.2,0.3192982456140351,0.5403508771929825,0.7606837606837606,0.35619047619047617,0.7047619047619048,Alpha,Junior Warrant Officer,UAV Operator
G13885,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Senior Warrant Officer,Technical Staff
G08643,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Senior Warrant Officer,Technical Staff
G08693,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Senior Warrant Officer,Technical Staff
G23673,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,Technical Staff
G24293,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Junior Warrant Officer,Technical Staff
G23445,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Junior Warrant Officer,Technical Staff
G21944,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,Technical Staff
G22075,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Warrant Officer,Technical Staff
G23253,55.9,0.5,0.5,0.5,0.820952380952381,0.3904761904761905,Alpha,Junior Warrant Officer,Technical Staff
G22963,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,Technical Staff
G22206,45.7,0.5,0.5,0.5,0.35619047619047617,0.22380952380952382,Alpha,Warrant Officer,Technical Staff
G23305,45.7,0.5,0.5,0.5,0.35619047619047617,0.22380952380952382,Alpha,Junior Warrant Officer,Technical Staff
G24645,46.1,0.5,0.5,0.5,0.35619047619047617,0.2895238095238095,Alpha,Junior Warrant Officer,Technical Staff
G25276,57.4,0.5,0.5,0.5,0.820952380952381,0.7047619047619048,Alpha,Junior Warrant Officer,Technical Staff
G24726,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Junior Warrant Officer,Technical Staff
G22585,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Warrant Officer,Technical Staff
G18574,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Senior Warrant Officer,Technical Staff
G24803,48.1,0.5,0.5,0.5,0.35619047619047617,0.7047619047619048,Alpha,Junior Warrant Officer,Technical Staff
