table_name,column_name,data_type,is_primary_key,is_foreign_key,references_table,references_column
personal,person_id,string,True,False,,
personal,first_name,string,False,False,,
personal,last_name,string,False,False,,
personal,father_name,string,False,False,,
personal,gender,string,False,False,,
personal,fin_code,string,False,False,,
personal,id_card_number,string,False,False,,
personal,military_ticket_number,string,False,False,,
personal,has_driving_license,boolean,False,False,,
personal,driving_license_number,string,False,False,,
personal,birth_date,date,False,False,,
personal,age,integer,False,False,,
personal,home_region,string,False,False,,
personal,education_level,string,False,False,,
personal,university_admission_year,integer,False,False,,
personal,university_graduation_year,integer,False,False,,
personal,rank_group,string,False,False,,
personal,rank,string,False,False,,
personal,specialization,string,False,False,,
personal,is_leadership,boolean,False,False,,
personal,officer_commissioning_source,string,False,False,,
personal,military_academy_type,string,False,False,,
personal,years_as_enlisted_before_commission,float,False,False,,
personal,prior_enlisted_specialization,string,False,False,,
personal,department,string,False,True,mission_profile,department
personal,total_military_service_years,float,False,False,,
personal,uav_service_years,float,False,False,,
personal,current_department_years,float,False,False,,
personal,rotation_count,integer,False,False,,
personal,last_rotation_date,date,False,False,,
personal,contract_start_date,date,False,False,,
personal,contract_end_date,date,False,False,,
personal,contract_length_years,integer,False,False,,
personal,pua_course_cohort,integer,False,False,,
rank_history,person_id,string,True,True,personal,person_id
rank_history,current_rank,string,False,False,,
rank_history,current_rank_date,date,False,False,,
rank_history,previous_rank,string,False,False,,
rank_history,previous_rank_date,date,False,False,,
rank_history,current_rank_tenure_years,float,False,False,,
rank_history,years_since_last_promotion,float,False,False,,
previous_service,person_id,string,True,True,personal,person_id
previous_service,previous_branch,string,False,False,,
previous_service,years_in_previous_branch,float,False,False,,
rank_delay_analysis,person_id,string,True,True,personal,person_id
rank_delay_analysis,transferred_from_other_branch,boolean,False,False,,
rank_delay_analysis,rank_delayed,string,False,False,,
rank_delay_analysis,delay_years,float,False,False,,
rank_delay_analysis,department,string,False,False,,
rank_delay_analysis,rank,string,False,False,,
certifications,person_id,string,True,True,personal,person_id
certifications,english_certified,boolean,False,False,,
certifications,russian_certified,boolean,False,False,,
certifications,other_language_certified,boolean,False,False,,
certifications,other_language_name,string,False,False,,
certifications,nato_training,boolean,False,False,,
certifications,foreign_course,boolean,False,False,,
certifications,instructor_certified,boolean,False,False,,
fitness_standards,age_group,integer,True,False,,
fitness_standards,age_range,string,False,False,,
fitness_standards,score,integer,True,False,,
fitness_standards,pullups_required,integer,False,False,,
fitness_standards,run_minutes_required,float,False,False,,
fitness_standards,is_passing,boolean,False,False,,
physical_fitness,person_id,string,True,True,personal,person_id
physical_fitness,year,integer,True,False,,
physical_fitness,age_group,integer,False,False,,
physical_fitness,pullups_count,integer,False,False,,
physical_fitness,run_3km_minutes,float,False,False,,
physical_fitness,pullup_score,float,False,False,,
physical_fitness,run_score,float,False,False,,
physical_fitness,fitness_score,float,False,False,,
physical_fitness,result,string,False,False,,
tactical_training,person_id,string,False,True,personal,person_id
tactical_training,training_name,string,False,False,,
tactical_training,level,string,False,False,,
tactical_training,year,integer,False,False,,
tactical_training,role,string,False,False,,
tactical_training,result,string,False,False,,
tactical_training,score,float,False,False,,
discipline_records,record_id,string,True,False,,
discipline_records,person_id,string,False,True,personal,person_id
discipline_records,department,string,False,True,mission_profile,department
discipline_records,year,integer,False,False,,
discipline_records,month,integer,False,False,,
discipline_records,record_type,string,False,False,,
discipline_records,severity,string,False,False,,
discipline_records,reason,string,False,False,,
mission_log,mission_id,string,False,False,,
mission_log,department,string,False,True,mission_profile,department
mission_log,year,integer,False,False,,
mission_log,month,integer,False,False,,
mission_log,mission_date,date,False,False,,
mission_log,planned_duration_hours,float,False,False,,
mission_log,status,string,False,False,,
mission_log,cancellation_reason,string,False,False,,
mission_log,dominant_weather,string,False,False,,
mission_log,avg_temperature_c,float,False,False,,
mission_log,person_id,string,False,True,personal,person_id
mission_log,role_on_mission,string,False,False,,
mission_log,shift_hours,float,False,False,,
mission_log,hours_category,string,False,False,,
flight_operations,person_id,string,True,True,personal,person_id
flight_operations,department,string,False,True,mission_profile,department
flight_operations,year,integer,True,False,,
flight_operations,month,integer,True,False,,
flight_operations,planned_missions,integer,False,False,,
flight_operations,completed_missions,integer,False,False,,
flight_operations,cancelled_missions,integer,False,False,,
flight_operations,flight_hours_real,float,False,False,,
flight_operations,flight_hours_training,float,False,False,,
flight_operations,flight_hours_combat,float,False,False,,
flight_operations,flight_hours_test,float,False,False,,
flight_operations,flight_hours_simulator,float,False,False,,
flight_operations,avg_temperature_c,float,False,False,,
flight_operations,avg_wind_speed_kmh,float,False,False,,
flight_operations,dominant_weather,string,False,False,,
flight_operations,primary_cancellation_reason,float,False,False,,
shooting_performance,shot_id,string,True,False,,
shooting_performance,person_id,string,False,True,personal,person_id
shooting_performance,department,string,False,True,mission_profile,department
shooting_performance,shot_date,date,False,False,,
shooting_performance,shot_sequence_number,integer,False,False,,
shooting_performance,is_first_shot,boolean,False,False,,
shooting_performance,shot_type,string,False,False,,
shooting_performance,outcome,string,False,False,,
standardization_exams,person_id,string,True,True,personal,person_id
standardization_exams,department,string,False,True,mission_profile,department
standardization_exams,exam_year,integer,True,False,,
standardization_exams,standardization_score,float,False,False,,
standardization_exams,flight_clearance,string,False,False,,
standardization_exams,retake_required,boolean,False,False,,
standardization_exams,retake_score,float,False,False,,
standardization_exams,final_clearance_status,string,False,False,,
standardization_exams,evaluator_id,string,False,True,personal,person_id
fuel_consumption,department,string,True,True,mission_profile,department
fuel_consumption,year,integer,True,False,,
fuel_consumption,total_flight_hours_real,float,False,False,,
fuel_consumption,total_flight_hours_simulator,float,False,False,,
fuel_consumption,primary_uav_model,string,False,False,,
fuel_consumption,avg_technical_condition_score,float,False,False,,
fuel_consumption,fuel_burn_rate_l_per_hour,float,False,False,,
fuel_consumption,total_fuel_liters,float,False,False,,
fuel_consumption,estimated_flying_days,integer,False,False,,
flight_safety,incident_id,string,True,False,,
flight_safety,mission_id,string,False,False,,
flight_safety,person_id,string,False,True,personal,person_id
flight_safety,department,string,False,True,mission_profile,department
flight_safety,incident_date,date,False,False,,
flight_safety,incident_type,string,False,False,,
flight_safety,cause,string,False,False,,
flight_safety,severity_score,integer,False,False,,
flight_safety,investigation_outcome,string,False,False,,
medals,medal_id,string,True,False,,
medals,person_id,string,False,True,personal,person_id
medals,department,string,False,True,mission_profile,department
medals,medal_type,string,False,False,,
medals,award_date,date,False,False,,
medals,reason,string,False,False,,
mission_profile,department,string,True,False,,
mission_profile,target_sector,string,False,False,,
mission_profile,climb_hours,float,False,False,,
mission_profile,transit_to_target_hours,float,False,False,,
mission_profile,transit_return_hours,float,False,False,,
mission_profile,descent_hours,float,False,False,,
mission_profile,max_flight_duration_hours,float,False,False,,
mission_profile,total_transit_hours,float,False,False,,
mission_profile,target_dwell_hours,float,False,False,,
mission_profile,mission_effectiveness_pct,float,False,False,,
risk_score,person_id,string,True,True,personal,person_id
risk_score,risk_score,float,False,False,,
risk_score,risk_flight,float,False,False,,
risk_score,risk_exam,float,False,False,,
risk_score,risk_shoot,float,False,False,,
risk_score,risk_disc_safety,float,False,False,,
risk_score,risk_training,float,False,False,,
risk_score,department,string,False,False,,
risk_score,rank,string,False,False,,
risk_score,specialization,string,False,False,,
aircraft,aircraft_id,string,True,False,,
aircraft,department,string,False,True,mission_profile,department
aircraft,model,string,False,False,,
aircraft,in_service_date,date,False,False,,
aircraft,base_condition_score,float,False,False,,
aircraft_monthly_maintenance,aircraft_id,string,False,True,aircraft,aircraft_id
aircraft_monthly_maintenance,department,string,False,False,,
aircraft_monthly_maintenance,year,integer,False,False,,
aircraft_monthly_maintenance,month,integer,False,False,,
aircraft_monthly_maintenance,maintenance_hours,float,False,False,,
aircraft_monthly_maintenance,technician_id,string,False,True,personal,person_id
aircraft_monthly_maintenance,effective_condition_score,float,False,False,,
mission_technical_log,mission_id,string,True,False,,
mission_technical_log,aircraft_id,string,False,True,aircraft,aircraft_id
mission_technical_log,department,string,False,False,,
mission_technical_log,year,integer,False,False,,
mission_technical_log,month,integer,False,False,,
mission_technical_log,mission_date,date,False,False,,
mission_technical_log,aircraft_age_years,integer,False,False,,
mission_technical_log,planned_duration_hours,float,False,False,,
mission_technical_log,actual_duration_hours,float,False,False,,
mission_technical_log,hours_returned_early,float,False,False,,
mission_technical_log,pre_flight_check_minutes,float,False,False,,
mission_technical_log,pre_flight_issue_found,boolean,False,False,,
mission_technical_log,post_flight_check_minutes,float,False,False,,
mission_technical_log,had_inflight_technical_problem,boolean,False,False,,
mission_technical_log,problem_type,string,False,False,,
mission_technical_log,problem_duration_minutes,float,False,False,,
mission_technical_log,effective_condition_score,float,False,False,,
